MW

VEHICLE
NUMBER     CAPACITY
  25         33

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      677.908     6150.22       0         360        1320         0
    1      719.104     6173.16       3        360         480         0
    2      692.484     6114.23       9        419         539         0
    3      725.608     6177.62       15        403         523         0
    4      719.715     6183.74       3        379         499         0
    5      716.455     6174.31       10        417         537         0
    6      688.659     6135.29       4        375         495         0
    7      695.169     6172.15       12        369         489         0
    8      718.594     6176.59       17        375         495         0
    9      727.363     6174.42       6        389         509         0
    10      720.227     6178.03       14        400         520         0
    11      714.062     6128.56       3        360         475         0
    12      724.817     6177.69       14        416         536         0
    13      718.197     6188.14       10        393         513         0
    14      708.224     6203.8       15        435         555         0
    15      700.248     6149.85       4        386         506         0
    16      507.721     6199.18       3        908         1028         0
    17      551.548     6086.12       9        760         880         0
    18      563.362     6174.24       15        702         822         0
    19      467.87     6149.23       3        867         987         0
    20      505.052     6116.03       10        776         896         0
    21      535.54     6175.54       4        738         858         0
    22      494.564     6180.6       12        930         1050         0
    23      535.474     6171.88       17        767         887         0
    24      489.644     6172.89       6        814         934         0
    25      506.887     6174.54       14        804         924         0
    26      571.23     6218.39       3        829         949         0
    27      565.881     6236.18       14        759         879         0
    28      467.975     6148.61       10        834         954         0
    29      475.372     6175.15       15        811         931         0
    30      561.492     6174.32       4        682         802         0

