MW

VEHICLE
NUMBER     CAPACITY
  25         66

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      677.908     6150.22       0         360        1320         0
    1      710.158     6094.46       14        442         562         0
    2      717.601     6097.27       6        410         530         0
    3      695.574     6086.88       15        430         550         0
    4      721.609     6097.27       12        390         510         0
    5      719.425     6199.89       15        408         528         0
    6      715.587     6195.47       3        398         518         0
    7      711.95     6202.42       8        393         513         0
    8      713.84     6194.44       12        438         558         0
    9      721.735     6172.68       10        391         511         0
    10     719.962     6178.01       9        415         535         0
    11     722.319     6183.71       3        368         488         0
    12     719.251     6175.36       10        414         534         0
    13     722.688     6174.96       3        377         497         0
    14     720.189     6174.4       3        361         481         0
    15     718.642     6171.72       5        361         481         0
    16     714.97     6176.39       11        380         500         0
    17     703.664     6136.98       8        376         496         0
    18     717.523     6180.62       5        364         484         0
    19     705.279     6162.41       13        360         472         0
    20     711.11     6175.21       12        389         509         0
    21     591.622     6133.08       14        796         916         0
    22     557.21     6322.36       6        996         1116         0
    23     535.265     6174.93       15        761         881         0
    24     557.081     6224.05       12        773         893         0
    25     549.909     6100.62       15        770         890         0
    26     568.893     6325.93       3        961         1081         0
    27     532.986     6174.79       8        779         899         0
    28     565.881     6236.18       12        748         868         0
    29     574.47     6220.49       10        712         832         0
    30     574.684     6227.02       9        705         825         0
    31     470.085     6195.11       3        974         1094         0
    32     533.493     6174.73       10        754         874         0
    33     573.556     6222.72       3        708         828         0
    34     490.48     6196.73       3        783         903         0
    35     574.251     6210.92       5        756         876         0
    36     569.239     6227.02       11        735         855         0
    37     563.6     6255.18       8        751         871         0
    38     516.3     6087.91       5        950         1070         0
    39     467.204     6147.26       13        812         932         0
    40     574.684     6227.02       12        727         847         0

