MW

VEHICLE
NUMBER     CAPACITY
  25         33

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      677.908     6150.22       0         360        1320         0
    1      685.375     6099.22       15        411         531         0
    2      696.794     6086.96       9        431         551         0
    3      684.224     6091.38       3        372         492         0
    4      684.198     6086.57       13        399         519         0
    5      704.983     6218.63       12        395         515         0
    6      699.703     6214.02       7        441         561         0
    7      704.588     6218.48       12        417         537         0
    8      695.169     6218.94       6        399         519         0
    9      720.602     6181.33       5        367         487         0
    10     720.891     6176.46       16        408         528         0
    11     723.904     6180.11       11        423         543         0
    12     717.398     6182.6       16        377         497         0
    13     724.817     6179.62       6        384         504         0
    14     724.438     6179.91       8        429         549         0
    15     711.583     6181.3       12        390         510         0
    16     725.936     6178.35       13        438         558         0
    17     718.023     6170.02       5        360         479         0
    18     715.773     6184.62       6        386         506         0
    19     724.586     6180.3       15        395         515         0
    20     717.005     6183.43       9        425         545         0
    21     601.115     6102.21       15        787         907         0
    22     563.769     6259.16       9        794         914         0
    23     569.844     6224.5       3        777         897         0
    24     457.156     6237.06       13        997         1117         0
    25     548.892     6101.24       12        781         901         0
    26     563.035     6258.23       7        815         935         0
    27     497.426     6101.08       12        899         1019         0
    28     597.356     6148.02       6        731         851         0
    29     557.661     6192.87       5        761         881         0
    30     574.197     6222.84       16        726         846         0
    31     578.438     6202.85       11        714         834         0
    32     577.137     6229.79       16        735         855         0
    33     543.094     6083       6        747         867         0
    34     570.734     6204.33       8        967         1087         0
    35     564.036     6173.91       12        709         829         0
    36     508.907     6221.96       13        798         918         0
    37     449.387     6238.06       5        972         1092         0
    38     574.777     6223.15       6        867         987         0
    39     556.333     6243.08       15        808         928         0
    40     582.025     6238.06       9        819         939         0

