R101

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      35         35         0         0        230         0
    1      15         19         1         160        170         0
    2      4         18         35         94        104         0
    3      44         17         9         78        88         0
    4      60         12         31         44        54         0
    5      5         5         16         83        93         0
    6      15         10         20         32        42         0
    7      46         13         8         149        159         0
    8      65         20         6         172        182         0
    9      11         14         18         69        79         0
    10      18         18         17         185        195         0
    11      23         3         7         132        142         0
    12      55         5         29         68        78         0
    13      20         20         8         134        144         0
    14      28         18         26         93        103         0
    15      49         11         18         69        79         0
    16      53         12         6         130        140         0
    17      19         21         10         58        68         0
    18      42         7         5         97        107         0
    19      35         17         7         50        60         0
    20      10         20         19         75        85         0
    21      20         50         1         81        91         0
    22      61         52         35         96        106         0
    23      45         65         9         126        136         0
    24      30         60         31         124        134         0
    25      65         55         16         117        127         0
    26      57         48         20         92        102         0
    27      6         68         8         108        118         0
    28      40         60         6         71        81         0
    29      13         52         18         165        175         0
    30      15         60         17         76        86         0
    31      62         77         7         51        61         0
    32      35         69         29         141        151         0
    33      31         52         8         50        60         0
    34      49         73         26         127        137         0
    35      49         58         18         88        98         0
    36      53         52         6         37        47         0
    37      2         60         10         41        51         0
    38      55         60         5         97        107         0
    39      31         67         7         95        105         0
    40      8         56         19         51        61         0

