RC101

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      37         41         0         0        240         0
    1      55         20         10         83        113         0
    2      15         10         30         152        182         0
    3      4         18          20         120        150         0
    4      42         12         15         104        134         0
    5      40         15         25         92        122         0
    6      42         10         10         72        102         0
    7      42         15         20         122        152         0
    8      20         20         15         141        171         0
    9      35         5          20         154        184         0
    10      23         3         15         150        180         0
    11      55         80        10         33        63         0
    12      65         82        30         124        154         0
    13      60         85        20         85        115         0
    14      55         82        15         64        94         0
    15      15         75        25         79        109         0
    16      55         85        10         128        158         0
    17      67         85        20         139        169         0
    18      15         80        15         91        121         0
    19      22         75        20         50        80         0
    20      20         82        15         37        67         0

