MW

VEHICLE
NUMBER     CAPACITY
  25         33

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      677.908     6150.22       0         360        1320         0
    1      688.464     6121.83       17        360         477         0
    2      703.096     6134.28       3        436         556         0
    3      693.417     6132.87       3        360         456         0
    4      701.578     6124.39       10        368         488         0
    5      716.467     6189.49       5        440         560         0
    6      720.806     6191.55       12        436         556         0
    7      718.068     6192.5       11        402         522         0
    8      714.378     6192.42       10        408         528         0
    9      716.296     6180.97       8        395         515         0
    10     726.176     6166.73       9        388         508         0
    11     705.969     6172.3       12        374         494         0
    12     718.516     6180.12       10        370         490         0
    13     720.274     6173.05       11        369         489         0
    14     707.356     6171.74       13        360         479         0
    15     723.544     6175.96       12        374         494         0
    16     726.705     6175.24       10        428         548         0
    17     721.21     6179.48       17        400         520         0
    18     727.966     6172.53       14        416         536         0
    19     699.966     6185.16       16        391         511         0
    20     700.28     6185.28       11        362         482         0
    21     722.824     6175.94       10        389         509         0
    22     721.2     6176.48       8        427         547         0
    23     730.064     6167.97       5        396         516         0
    24     719.094     6181.91       10        421         541         0
    25     726.33     6173.96       16        379         499         0
    26     505.468     6088.55       17        861         981         0
    27     562.601     6260.68       3        787         907         0
    28     537.062     6222.06       3        944         1064         0
    29     574.715     6218.78       10        727         847         0
    30     545.234     6089.61       5        736         856         0
    31     563.97     6260.38       12        815         935         0
    32     547.939     6217.02       11        762         882         0
    33     494.053     6221.01       10        837         957         0
    34     532.974     6172.68       8        797         917         0
    35     551.56     6153.76       9        726         846         0
    36     553.001     6191.25       12        740         860         0
    37     463.449     6268.33       10        875         995         0
    38     564.718     6230.34       11        721         841         0
    39     492.181     6257.3       13        873         993         0
    40     519.382     6148.92       12        795         915         0
    41     531.916     6148.94       10        788         908         0
    42     482.924     6176.99       17        775         895         0
    43     543.325     6086.73       14        763         883         0
    44     563.418     6258.35       16        794         914         0
    45     475.337     6175.3       11        826         946         0
    46     586.063     6141.95       10        674         794         0
    47     555.292     6192.27       8        738         858         0
    48     571.118     6226       5        781         901         0
    49     515.093     6188.94       10        859         979         0
    50     569.239     6227.02       16        704         824         0

