MW

VEHICLE
NUMBER     CAPACITY
  25         33

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      677.908     6150.22       0         360        1320         0
    1      697.122     6087.01       17        393         513         0
    2      702.864     6089.67       17        392         512         0
    3      722.784     6216.22       6        454         574         0
    4      710.735     6222.41       12        445         565         0
    5      723.144     6214.42       13        434         554         0
    6      714.375     6221.02       11        400         520         0
    7      711.619     6191.11       7        385         505         0
    8      723.479     6177.79       9        428         548         0
    9      724.924     6185.53       5        412         532         0
    10     701.615     6166       17        360         475         0
    11     718.316     6180.08       11        414         534         0
    12     721.72     6173.93       16        411         531         0
    13     721.058     6176.7       14        397         517         0
    14     708.663     6184       15        370         490         0
    15     722.708     6173.97       11        384         504         0
    16     725.51     6185.32       12        422         542         0
    17     722.638     6176.17       16        418         538         0
    18     720.693     6177.68       3        363         483         0
    19     701.504     6124.26       7        360         472         0
    20     726.193     6175.24       15        394         514         0
    21     716.283     6174.56       8        363         483         0
    22     723.579     6176.41       3        380         500         0
    23     722.566     6178.95       17        394         514         0
    24     724.734     6178.35       3        408         528         0
    25     718.661     6171.86       7        377         497         0
    26     531.95     6124.11       17        894         1014         0
    27     473.866     6259.79       17        908         1028         0
    28     555.985     6089.76       6        770         890         0
    29     565.018     6258.56       12        765         885         0
    30     534.033     6225.02       13        764         884         0
    31     553.24     6191.56       11        793         913         0
    32     467.567     6147.67       7        861         981         0
    33     567.995     6218.81       9        765         885         0
    34     559.067     6224.22       5        743         863         0
    35     492.235     6232.95       17        857         977         0
    36     563.6     6255.18       11        776         896         0
    37     565.512     6259.2       16        783         903         0
    38     533.784     6170.53       14        718         838         0
    39     572.378     6227.02       15        755         875         0
    40     524.808     6255.64       11        810         930         0
    41     563.359     6258.35       12        814         934         0
    42     548.329     6100.79       16        800         920         0
    43     531.353     6123.89       3        873         993         0
    44     565.487     6215.46       7        786         906         0
    45     531.57     6151.68       15        738         858         0
    46     563.622     6258.23       8        792         912         0
    47     577.125     6233.97       3        713         833         0
    48     552.8     6191.83       17        828         948         0
    49     568.431     6218.65       3        732         852         0
    50     573.181     6218.7       7        756         876         0

